activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163545800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,2,1,2,1,1,85000.0,80,NA,NA,3,NA,NA,NA,NA,NA,360,NA,1,2,2,2,2,105000,1,2,3,5,1,NA,204,<20%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,Yes,NA,1,1,6,,,,,3,,,,5518,70.82,77800,50,953,2115,68
2024,B4TYDEB6GKMZO031MB27,34740,MI,26121,26121001500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,3,0,2,1,31,1,2,1,2,25000.0,11.01,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,225000,1,1,3,5,1,NA,78,50%-60%,8,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,,,,4093,12.85,73900,171,1211,1587,57
2024,B4TYDEB6GKMZO031MB27,99999,MI,26123,26123970700,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Manufactured,Ethnicity Not Available,Race Not Available,Male,3,0,2,1,2,2,2,1,2,35000.0,51.9,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,195000,2,1,1,1,1,NA,70,20%-<30%,8,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,4,,,,4416,16.28,78300,73,1203,1898,42
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163560300,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,4,2,2,1,2,135000.0,84.53,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,625000,1,1,3,5,1,NA,324,20%-<30%,8,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,,,,,3,4,6,,3598,26.79,77800,240,1107,1206,36
2024,B4TYDEB6GKMZO031MB27,47664,MI,26099,26099232100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,2,0,2,1,1,1,2,2,2,335000.0,79.25,7.625,0.956,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,102,42,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,7,,,,,10,,,,6361,31.49,109700,82,2038,2165,41
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163560100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,32,1,2,2,2,65000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,68,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,>74,9999,Yes,NA,1,1,2,7,,,,10,,,,2793,8.31,77800,290,921,1017,58
2024,B4TYDEB6GKMZO031MB27,47664,MI,26125,26125161300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,3,2,1,1,1,2,2,2,145000.0,90.75,6.000,-1.048,2,254.41,NA,200.00,4290.66,,360,NA,NA,2,2,2,2,165000,1,1,3,5,1,NA,72,20%-<30%,1,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,2,,,,,10,,,,3693,68.94,109700,68,1060,1458,60
2024,B4TYDEB6GKMZO031MB27,47664,MI,26099,26099240601,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,3,0,2,2,1,1,2,2,2,155000.0,96.5,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,155000,1,1,3,5,1,NA,48,50%-60%,2,10,14,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,3,,,,,1,,,,3508,26.43,109700,101,828,736,42
2024,B4TYDEB6GKMZO031MB27,11460,MI,26161,26161446200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,1,1,2,2,2,285000.0,91.43,6.875,-0.077,2,4156.91,NA,1768.20,403.20,35.00,360,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,110,40,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,2,,,,,10,,,,2252,9.15,119500,108,649,928,59
2024,B4TYDEB6GKMZO031MB27,47664,MI,26147,26147634100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,275000.0,80,6.250,-0.980,2,0.00,NA,0.00,3098.02,,360,NA,NA,2,2,2,2,345000,1,1,3,5,1,NA,80,43,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,2,7,,,,10,,,,3804,10.25,109700,65,1436,1536,38
2024,B4TYDEB6GKMZO031MB27,47664,MI,26099,26099251600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,1,1,1,1,2,2,2,215000.0,95,6.375,-0.477,2,0.00,NA,0.00,4072.71,,360,NA,NA,2,2,2,2,225000,1,1,3,5,1,NA,86,30%-<36%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,2,7,,,,10,,,,3163,15.9,109700,80,922,1131,63
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163522000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,0,2,1,1,1,2,2,2,325000.0,108.57,5.875,-1.113,2,1151.00,NA,777.00,,600.00,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,154,20%-<30%,9,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,2,2,2,25-34,25-34,No,No,2,1,7,,,,,10,,,,1789,96.42,77800,29,105,421,41
2024,B4TYDEB6GKMZO031MB27,47664,MI,26099,26099250400,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,3,0,2,1,4,2,2,1,2,35000.0,76.08,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,245000,1,1,3,5,1,NA,55,>60%,8,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,1,3,4,,1402,11.34,109700,85,504,584,64
2024,B4TYDEB6GKMZO031MB27,47664,MI,26125,26125128900,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,5,0,2,1,2,2,2,1,2,25000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,NA,1,1,3,5,1,NA,180,NA,9,9,2,,,,,5,,,,,2,4,2,27,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,10,,,,7323,26.6,109700,153,1841,2152,24
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163507300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,0,2,1,2,1,2,1,2,55000.0,41.67,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,125000,1,1,3,5,1,NA,75,<20%,8,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,25-34,9999,No,NA,1,1,6,,,,,3,,,,2285,98.25,77800,65,350,1421,74
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163541400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,0,2,1,2,1,2,1,2,65000.0,35.29,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,175000,1,1,3,5,1,NA,100,39,8,10,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,,,,2642,89.59,77800,102,735,1136,68
2024,B4TYDEB6GKMZO031MB27,19804,MI,26163,26163531501,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Race Not Available,Male,3,0,2,1,2,1,2,1,2,45000.0,80,NA,NA,3,NA,NA,NA,NA,NA,360,36,1,2,2,2,2,55000,1,1,3,5,2,NA,61,20%-<30%,8,10,2,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,3,,,,1276,95.14,77800,38,248,990,0
