race,sex,ethnicity,loan_type,loan_purpose,loan_amount,income,debt_to_income,applicant_age,tract_minority_pct,tract_income_pct,loan_approved
White,Male,Not Hispanic or Latino,1,2,85000.0,204.0,<20%,55-64,70.82,50,0
White,Female,Not Hispanic or Latino,1,31,25000.0,78.0,50%-60%,35-44,12.85,171,0
White,Joint,Not Hispanic or Latino,1,4,135000.0,324.0,20%-<30%,35-44,26.79,240,0
Black or African American,Female,Not Hispanic or Latino,1,1,145000.0,72.0,20%-<30%,35-44,68.94,68,1
Black or African American,Male,Hispanic or Latino,2,1,155000.0,48.0,50%-60%,45-54,26.43,101,0
White,Male,Not Hispanic or Latino,1,1,285000.0,110.0,40,25-34,9.15,108,1
White,Male,Not Hispanic or Latino,1,1,275000.0,80.0,43,25-34,10.25,65,1
White,Male,Not Hispanic or Latino,1,1,215000.0,86.0,30%-<36%,25-34,15.9,80,1
Black or African American,Female,Not Hispanic or Latino,1,1,325000.0,154.0,20%-<30%,25-34,96.42,29,1
Black or African American,Female,Not Hispanic or Latino,1,2,65000.0,100.0,39,35-44,89.59,102,0
White,Male,Not Hispanic or Latino,1,2,75000.0,100.0,20%-<30%,35-44,11.39,238,0
Asian,Male,Not Hispanic or Latino,1,1,235000.0,115.0,40,25-34,56.16,112,1
White,Male,Hispanic or Latino,1,2,75000.0,83.0,<20%,55-64,57.93,96,0
White,Male,Not Hispanic or Latino,1,2,155000.0,94.0,42,25-34,13.59,196,0
White,Joint,Not Hispanic or Latino,1,2,55000.0,110.0,42,45-54,8.6,125,0
Black or African American,Female,Not Hispanic or Latino,1,1,85000.0,39.0,47,45-54,88.71,0,1
White,Female,Not Hispanic or Latino,1,32,85000.0,25.0,43,65-74,7.69,93,0
White,Male,Not Hispanic or Latino,1,1,145000.0,50.0,39,<25,48.34,61,1
White,Male,Not Hispanic or Latino,1,2,105000.0,219.0,46,65-74,13.97,147,1
White,Joint,Not Hispanic or Latino,1,4,65000.0,184.0,30%-<36%,45-54,13.84,79,1
White,Joint,Not Hispanic or Latino,1,2,115000.0,210.0,30%-<36%,45-54,21.56,135,1
Black or African American,Male,Not Hispanic or Latino,1,4,45000.0,40.0,>60%,45-54,94.79,74,0
White,Male,Not Hispanic or Latino,1,31,125000.0,44.0,>60%,65-74,67.76,105,0
White,Male,Not Hispanic or Latino,1,4,105000.0,52.0,>60%,25-34,17.05,88,0
Black or African American,Female,Not Hispanic or Latino,1,2,105000.0,40.0,>60%,65-74,37.89,89,0
Black or African American,Female,Not Hispanic or Latino,1,2,105000.0,40.0,>60%,65-74,37.89,89,0
White,Joint,Not Hispanic or Latino,1,1,195000.0,117.0,44,45-54,17.38,78,1
White,Male,Not Hispanic or Latino,1,2,105000.0,83.0,>60%,35-44,9.88,180,0
Black or African American,Male,Not Hispanic or Latino,1,2,55000.0,105.0,50%-60%,35-44,88.78,49,1
White,Female,Not Hispanic or Latino,1,2,25000.0,46.0,50%-60%,25-34,23.26,74,0
White,Joint,Ethnicity Not Available,1,4,105000.0,27.0,>60%,65-74,11.39,238,0
White,Male,Not Hispanic or Latino,1,4,55000.0,88.0,44,65-74,46.1,305,1
White,Female,Not Hispanic or Latino,1,2,55000.0,140.0,<20%,25-34,12.47,77,0
Black or African American,Male,Not Hispanic or Latino,1,1,265000.0,67.0,40,25-34,84.09,118,1
Black or African American,Female,Not Hispanic or Latino,1,1,95000.0,54.0,30%-<36%,<25,49.49,55,1
White,Male,Not Hispanic or Latino,2,1,235000.0,57.0,50%-60%,45-54,9.0,42,1
Black or African American,Female,Not Hispanic or Latino,1,2,135000.0,38.0,50%-60%,35-44,92.43,58,0
White,Male,Not Hispanic or Latino,1,4,425000.0,0.0,>60%,55-64,25.3,187,0
White,Joint,Not Hispanic or Latino,1,4,25000.0,48.0,30%-<36%,55-64,10.39,84,0
White,Joint,Free Form Text Only,1,31,505000.0,291.0,30%-<36%,65-74,16.14,143,1
White,Joint,Not Hispanic or Latino,1,2,35000.0,112.0,30%-<36%,45-54,7.64,106,1
White,Male,Not Hispanic or Latino,1,31,105000.0,152.0,50%-60%,35-44,29.01,159,0
White,Male,Not Hispanic or Latino,1,2,35000.0,31.0,<20%,<25,19.24,69,0
Black or African American,Female,Not Hispanic or Latino,2,1,315000.0,81.0,46,35-44,35.36,129,0
White,Joint,Not Hispanic or Latino,1,2,105000.0,148.0,30%-<36%,45-54,25.37,76,1
Black or African American,Male,Not Hispanic or Latino,1,2,25000.0,142.0,30%-<36%,35-44,97.32,101,0
Black or African American,Female,Not Hispanic or Latino,1,1,75000.0,61.0,30%-<36%,55-64,98.43,80,1
White,Joint,Not Hispanic or Latino,1,2,155000.0,226.0,44,55-64,10.34,87,1
White,Female,Not Hispanic or Latino,1,2,55000.0,53.0,50%-60%,25-34,37.54,115,0
White,Joint,Not Hispanic or Latino,1,4,135000.0,324.0,30%-<36%,35-44,26.79,240,0
White,Male,Not Hispanic or Latino,1,2,55000.0,400.0,<20%,35-44,17.06,127,0
Black or African American,Joint,Not Hispanic or Latino,1,2,55000.0,25.0,39,65-74,98.33,77,0
White,Male,Not Hispanic or Latino,1,2,35000.0,38.0,>60%,65-74,32.05,128,0
Black or African American,Female,Not Hispanic or Latino,1,1,25000.0,11.0,>60%,65-74,98.97,142,0
White,Joint,Not Hispanic or Latino,1,4,75000.0,197.0,30%-<36%,45-54,17.9,171,1
Black or African American,Female,Not Hispanic or Latino,1,1,155000.0,61.0,45,45-54,56.07,38,1
White,Male,Ethnicity Not Available,1,2,25000.0,64.0,41,35-44,24.93,86,0
White,Joint,Not Hispanic or Latino,1,2,85000.0,83.0,49,45-54,8.56,83,1
White,Male,Hispanic or Latino,1,31,35000.0,83.0,<20%,45-54,34.72,66,0
White,Female,Not Hispanic or Latino,1,4,25000.0,46.0,<20%,55-64,19.29,59,0
White,Female,Not Hispanic or Latino,1,2,165000.0,38.0,>60%,>74,27.92,207,0
White,Joint,Not Hispanic or Latino,1,4,225000.0,143.0,20%-<30%,55-64,28.01,73,1
White,Female,Not Hispanic or Latino,1,2,85000.0,63.0,50%-60%,65-74,28.92,89,1
White,Male,Not Hispanic or Latino,1,2,35000.0,30.0,>60%,25-34,28.01,73,0
Black or African American,Joint,Not Hispanic or Latino,1,4,55000.0,105.0,<20%,65-74,97.73,81,0
Black or African American,Female,Not Hispanic or Latino,1,2,25000.0,43.0,<20%,35-44,97.12,46,0
Black or African American,Female,Ethnicity Not Available,1,1,115000.0,46.0,41,45-54,98.3,51,1
White,Joint,Not Hispanic or Latino,1,4,35000.0,125.0,46,35-44,10.83,119,0
White,Joint,Not Hispanic or Latino,1,2,405000.0,100.0,50%-60%,65-74,9.5,68,0
White,Male,Not Hispanic or Latino,1,1,105000.0,54.0,30%-<36%,35-44,14.47,80,1
Black or African American,Male,Not Hispanic or Latino,1,31,255000.0,116.0,45,45-54,22.11,85,1
White,Joint,Joint,1,2,175000.0,442.0,30%-<36%,45-54,8.66,163,1
Black or African American,Female,Not Hispanic or Latino,1,1,85000.0,53.0,>60%,45-54,67.46,56,0
Black or African American,Female,Not Hispanic or Latino,1,2,705000.0,100.0,>60%,35-44,25.48,208,0
Black or African American,Joint,Not Hispanic or Latino,1,2,55000.0,27.0,>60%,65-74,98.78,59,0
White,Male,Not Hispanic or Latino,1,2,75000.0,182.0,37,35-44,11.12,238,0
White,Joint,Not Hispanic or Latino,1,2,45000.0,165.0,30%-<36%,35-44,8.76,136,0
White,Joint,Hispanic or Latino,1,2,55000.0,168.0,46,25-34,34.76,91,0
Black or African American,Male,Not Hispanic or Latino,1,4,35000.0,93.0,30%-<36%,35-44,82.3,71,0
